"","study name","Population","Lattitude","Longitude"
"1","Andrello et al 2020 Arabis alpina","BRU","45.150649999999999","5.6111199999999997"
"2","Andrello et al 2020 Arabis alpina","CHA","45.071170000000002","5.59267"
"3","Andrello et al 2020 Arabis alpina","VIL","45.018090000000001","5.5708299999999999"
"4","Andrello et al 2020 Arabis alpina","LAU","45.028460000000003","6.3903400000000001"
"5","Andrello et al 2020 Arabis alpina","GAL","45.060490000000001","6.4037499999999996"
"6","Andrello et al 2020 Arabis alpina","PIC","45.063850000000002","6.3842600000000003"
"7","de Souza et al 2018 Euterpe edulis","Higher altitude","-22.4605","-43.006900000000002"
"8","de Souza et al 2018 Euterpe edulis","Lower altitude","-22.457999999999998","-43.001100000000001"
"9","Eckhart et al 2011 Clarkia xantiana","BG","35.592925 ","-118.529078 "
"10","Eckhart et al 2011 Clarkia xantiana","BR","35.590125 ","-118.518186 "
"11","Eckhart et al 2011 Clarkia xantiana","CF","35.529508 ","-118.654306 "
"12","Eckhart et al 2011 Clarkia xantiana","CP3","35.803981 ","-118.449567 "
"13","Eckhart et al 2011 Clarkia xantiana","DEM","35.530667 ","-118.627475 "
"14","Eckhart et al 2011 Clarkia xantiana","DLW","35.543942 ","-118.621147 "
"15","Eckhart et al 2011 Clarkia xantiana","EC","35.591614 ","-118.446192 "
"16","Eckhart et al 2011 Clarkia xantiana","FR","35.582642 ","-118.552897 "
"17","Eckhart et al 2011 Clarkia xantiana","GCN","35.727775 ","-118.431889 "
"18","Eckhart et al 2011 Clarkia xantiana","KYE","35.623833 ","-118.515244 "
"19","Eckhart et al 2011 Clarkia xantiana","LCE","35.483714 ","-118.707092 "
"20","Eckhart et al 2011 Clarkia xantiana","LCW","35.482111 ","-118.71 "
"21","Eckhart et al 2011 Clarkia xantiana","LO","35.478661 ","-118.733833 "
"22","Eckhart et al 2011 Clarkia xantiana","MC","35.535703 ","-118.618289 "
"23","Eckhart et al 2011 Clarkia xantiana","OKRE","35.565456 ","-118.567008 "
"24","Eckhart et al 2011 Clarkia xantiana","OKRW","35.561478 ","-118.580169 "
"25","Eckhart et al 2011 Clarkia xantiana","OSR","35.699822 ","-118.484497 "
"26","Eckhart et al 2011 Clarkia xantiana","S22","35.839514 ","-118.450556 "
"27","Eckhart et al 2011 Clarkia xantiana","SM","35.604222 ","-118.417606 "
"28","Eckhart et al 2011 Clarkia xantiana","URS","35.469061 ","-118.718739 "
"29","Herzog et al. in review Sedum lanceolatum","L1","41.214745999999998","-105.326899"
"30","Herzog et al. in review Sedum lanceolatum","L2","41.308706999999998","-106.16125700000001"
"31","Herzog et al. in review Sedum lanceolatum","H1","41.378303000000002","-106.281001"
"32","Herzog et al. in review Sedum lanceolatum","H2","41.374566999999999","-106.254949"
"33","Herzog et al. in review Sedum lanceolatum","ATWE","40.049999999999997","-105.62"
"34","Horvitz et al. 2018 Psidium cattleianum","kah","19.433","-155.166"
"35","Horvitz et al. 2018 Psidium cattleianum","mak","19.567","-155.19999999999999"
"36","Horvitz et al. 2018 Psidium cattleianum","ola","19.45","-155.18299999999999"
"37","Horvitz et al. 2018 Psidium cattleianum","wai","19.582999999999998","-155.19999999999999"
"38","Kim and Donohue 2011 Erysimum capitatum","H1","39.009","-107.041"
"39","Kim and Donohue 2011 Erysimum capitatum","H2","39.664","-105.88"
"40","Kim and Donohue 2011 Erysimum capitatum","H3","40.053","-105.589"
"41","Kim and Donohue 2011 Erysimum capitatum","L1","38.605","-106.824"
"42","Kim and Donohue 2011 Erysimum capitatum","L2","39.732","-105.242"
"43","Kim and Donohue 2011 Erysimum capitatum","L3","39.961","-105.271"
"44","Knight et al 2009 Trillium grandiflorum","DC","41.517","-80.4333"
"45","Knight et al 2009 Trillium grandiflorum","DH","41.717","-80.0333"
"46","Knight et al 2009 Trillium grandiflorum","DR","41.667","-80.2333"
"47","Knight et al 2009 Trillium grandiflorum","EL","41.783","-80.0833"
"48","Knight et al 2009 Trillium grandiflorum","FX","41.8","-80.2"
"49","Knight et al 2009 Trillium grandiflorum","GT","41.4","-80.0"
"50","Knight et al 2009 Trillium grandiflorum","LR","41.733","-80.05"
"51","Knight et al 2009 Trillium grandiflorum","RH","41.483","-80.4"
