"x"
"Andrello et al 2020 Arabis alpina"
"de Souza et al 2018 Euterpe edulis"
"Doak & Morris 2010 Polygonum viviparum"
"Doak & Morris 2010 Silene acaulis"
"Eckhart et al 2011 Clarkia xantiana"
"Herzog et al. in review Sedum lanceolatum"
"Horvitz et al. 2018 Psidium cattleianum"
"Kim and Donohue 2011 Erysimum capitatum"
"Knight et al 2009 Trillium grandiflorum"
"Munzgergova 2005 Cirsium acaule"
"Munzgergova 2005 Cirsium pannonicum"
"Pascarella unpublished data Jacquemontia reclinata"
"Ramula 2014 Lupinus polyphyllus"
"Sheth & Angert 2018 Mimulus cardinalis"
"Tye et al. 2018 Dactylorhiza incarnata"
"Tye et al. 2018 Dactylorhiza lapponica"
"Tye et al. 2018 Dactylorhiza maculata"
"Tye et al. 2018 Gymnadenia conopsea"
